Country,Region,ID,City
ru,mos,253,Люберцы
ru,mos,307,МАРЗ
ru,mos,358,Меткино
ru,mos,254,Митино
ru,mos,246,"Москва (за МКАД)"
ru,mos,255,Московский
ru,mos,323,"Московский Писатель"
ru,mos,256,Мытищи
ru,mos,361,Некрасовский
ru,mos,343,Никитское
ru,mos,345,Никитское
ru,mos,308,Никольско-Архангельский
ru,mos,309,Никольско-Трубецкое
ru,mos,310,Новая
ru,mos,344,Новленское
ru,mos,346,Новленское
ru,mos,290,Ново-Переделкино
ru,mos,288,Новогорск
ru,mos,257,Новокосино
ru,mos,362,Новонекрасовский
ru,mos,291,Новоподрезково
ru,mos,347,Новосьяново
ru,mos,348,"Новые Семивраги"
ru,mos,311,"Новый Милет"
ru,mos,349,Овчинки
ru,mos,265,Одинцово
ru,mos,363,Озерецкое
ru,mos,292,Опалиха
ru,mos,312,Павлино
ru,mos,293,Павшино
ru,mos,313,Пестово
ru,mos,314,Пехра-Покровское
ru,mos,276,Подольск
ru,mos,315,Пуршево
ru,mos,277,Пушкино
ru,mos,294,Раменское
ru,mos,258,Реутов
ru,mos,316,Русавкино-Поповщино
ru,mos,317,Русавкино-Романово
ru,mos,364,Рыбаки
ru,mos,295,Салтыковка
ru,mos,365,"свх Останкино"
ru,mos,296,"свх Подольский Центральная усадьба"
ru,mos,259,"Северное Бутово"
ru,mos,351,Семивраги
ru,mos,318,Соболиха
ru,mos,260,Солнцево
ru,mos,366,"Спортбаза Озеро Круглое"
ru,mos,352,Старосьяново
ru,mos,279,Сходня
ru,mos,266,Томилино
ru,mos,297,Троицк
ru,mos,353,Тупицино
ru,mos,354,Ушмары
ru,mos,319,Федурново
ru,mos,320,Фенино
ru,mos,298,Фрязино
ru,mos,261,Химки
ru,mos,321,Черное
ru,mos,355,Чурилково
ru,mos,356,Шишкино
ru,mos,280,Щелково
ru,mos,267,Щербинка
ru,mos,322,Щитниково
ru,mos,299,Электросталь
ru,mos,268,Юбилейный
ru,mos,262,"Южное Бутово"
ru,mos,357,Ям
ru,mow,245,Москва
ru,mow,370,"Москва (за МКАД)"
ru,ngr,373,"Великий Новгород"
ru,niz,381,"Нижний Новгород"
ru,nvs,435,Новосибирск
ru,oms,427,Омск
ru,ore,419,Оренбург
ru,ore,428,Орск
ru,orl,382,Орёл
ru,per,413,Березники
ru,per,420,Пермь
ru,per,412,Соликамск
ru,pnz,407,Пенза
ru,pri,449,Владивосток
ru,psk,454,Псков
ru,ros,390,Азов
ru,ros,397,Ростов-на-Дону
ru,ros,402,Таганрог
ru,rya,383,Рязань
ru,sa,452,Якутск
ru,sak,451,Южно-Сахалинск
ru,sam,398,Самара
ru,sam,403,Тольятти
ru,sar,411,Балаково
ru,sar,399,Саратов
ru,sar,410,Энгельс
ru,smo,400,Смоленск
ru,spe,388,Санкт-Петербург
ru,sta,396,Пятигорск
ru,sta,401,Ставрополь
ru,sve,453,Екатеринбург
ru,ta,424,Альметьевск
ru,ta,405,Казань
ru,ta,406,"Набережные Челны"
ru,tam,384,Тамбов
ru,tom,436,Томск
ru,tul,389,Тула
ru,tve,385,Тверь
ru,tyu,423,Тюмень
ru,ud,414,Ижевск
ru,uly,409,Ульяновск
ru,vgg,393,Волгоград
ru,vla,374,Владимир
ru,vor,375,Воронеж
ru,yar,387,Ярославль
ru,zab,445,Чита
